date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:28	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
22:54:29	35115/35115	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2011:10:56%20GMT	https://preview.colorlib.com/theme/ronaldo/	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/index.html	(from )
22:54:29	737/737	---M-Z	200	added ('OK')	text/css	etag:%222e1-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/open-iconic-bootstrap.min.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:30	54127/54127	---M-Z	200	added ('OK')	text/css	etag:%22d36f-5c1f9ea1d0e31-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/animate.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/animate.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:31	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/owl.carousel.min.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:31	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:32	4212/4212	---M-Z	200	added ('OK')	text/css	etag:%221074-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/magnific-popup.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/magnific-popup.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:32	7072/7072	---M-Z	200	added ('OK')	text/css	etag:%221ba0-5c1f9ea1d0e31-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/aos.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/aos.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:33	1455/1455	---M-Z	200	added ('OK')	text/css	etag:%225af-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/ionicons.min.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/ionicons.min.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:35	1357/1357	---M-Z	200	added ('OK')	text/css	etag:%2254d-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/flaticon.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/flaticon.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:35	1563/1563	---M-Z	200	added ('OK')	text/css	etag:%2261b-5c1f9ea1d1dd1-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/icomoon.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/icomoon.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:36	69404/69404	---M-Z	200	added ('OK')	text/css	etag:%2210f1c-5c1f9ea1d2d71-gzip%22	https://preview.colorlib.com/theme/ronaldo/css/style.css	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/css/style.css	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:36	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2018%20May%202023%2017:24:37%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:36	35115/35115	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2011:10:56%20GMT	https://preview.colorlib.com/theme/ronaldo/index.html	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/index-2.html	(from https://preview.colorlib.com/theme/ronaldo/)
22:54:38	92704/92704	---M--	200	added ('OK')	image/jpeg	etag:%2216a20-592816dda1ac0%22	https://preview.colorlib.com/theme/ronaldo/images/about.jpg	C:/My%20Web%20Sites/Portfolio/preview.colorlib.com/theme/ronaldo/images/about.jpg	(from https://preview.colorlib.com/theme/ronaldo/)
